Num of reads real,Coverage percentage,Num of mice,Num of samples,Samples-mice ratio,Score,Num of reads
28753519,70,1,39,39,0.698985918,28.753519
28811727,140,1,17,17,0.678556225,28.811727
28835954,70,2,35,17.5,0.757879792,28.835954
28858683,40,1,53,53,0.802328918,28.858683
28858683,40,1,53,53,0.931156134,28.858683
28866696,90,1,26,26,0.679187642,28.866696
28888753,130,1,16,16,0.581478989,28.888753
28905899,130,1,16,16,0.566373172,28.905899
28923613,110,1,23,23,0.701771726,28.923613
28940102,60,2,37,18.5,0.649103664,28.940102
28940102,60,2,37,18.5,0.945517064,28.940102
29177396,130,1,20,20,0.650113359,29.177396
29177396,130,1,20,20,0.850310978,29.177396
29228422,40,3,59,19.66666667,0.736544243,29.228422
29228422,40,3,59,19.66666667,0.925798146,29.228422
29256073,60,2,42,21,0.732604453,29.256073
29256073,60,2,42,21,0.898155766,29.256073
29269746,40,1,51,51,0.742223893,29.269746
29330633,110,1,23,23,0.723542692,29.330633
29330633,110,1,23,23,0.892525479,29.330633
29330655,110,1,26,26,0.657951337,29.330655
29330655,110,1,26,26,0.861520017,29.330655
29480368,40,2,53,26.5,0.736926494,29.480368
29480368,40,2,53,26.5,0.926552412,29.480368
29533116,140,1,18,18,0.668220709,29.533116
29563064,50,1,47,47,0.793699975,29.563064
29627760,40,2,55,27.5,0.793611254,29.62776
29819700,60,2,40,20,0.753903279,29.8197
29873483,50,1,45,45,0.759938793,29.873483
30217004,50,1,47,47,0.786095702,30.217004
30289871,70,1,40,40,0.694396778,30.289871
30413519,100,1,27,27,0.709407525,30.413519
30609378,130,1,23,23,0.660310316,30.609378
30609378,130,1,23,23,0.860558047,30.609378
30633116,90,1,31,31,0.726547367,30.633116
30883671,90,1,31,31,0.715829882,30.883671
30883671,90,1,31,31,0.886942005,30.883671
30907027,60,2,35,17.5,0.672513652,30.907027
30907027,60,2,35,17.5,0.957388902,30.907027
31029008,80,1,29,29,0.692373022,31.029008
31110965,140,1,16,16,0.591953603,31.110965
31129429,140,1,16,16,0.587121529,31.129429
31399691,40,2,56,28,0.730277864,31.399691
31421811,140,1,20,20,0.664656699,31.421811
31421811,140,1,20,20,0.857885977,31.421811
31458545,50,2,53,26.5,0.748044918,31.458545
31458545,50,2,53,26.5,0.920681226,31.458545
31553032,120,1,23,23,0.69861995,31.553032
31582130,110,1,27,27,0.726071177,31.58213
31582130,110,1,27,27,0.89520675,31.58213
31635627,70,1,40,40,0.713524063,31.635627
31783612,40,3,63,21,0.760639354,31.783612
31783612,40,3,63,21,0.946406892,31.783612
31914043,50,2,42,21,0.625971935,31.914043
31918365,50,2,48,24,0.727216384,31.918365
31918365,50,2,48,24,0.927002291,31.918365
31961719,70,1,34,34,0.700521328,31.961719
31964739,50,1,47,47,0.802213029,31.964739
31964739,50,1,47,47,0.929076338,31.964739
31968408,40,2,59,29.5,0.739303096,31.968408
31997054,120,1,23,23,0.722025458,31.997054
31997054,120,1,23,23,0.892128883,31.997054
31997078,120,1,26,26,0.69085405,31.997078
31997078,120,1,26,26,0.877181835,31.997078
32074107,100,1,26,26,0.683124595,32.074107
32088196,40,3,56,18.66666667,0.722815609,32.088196
32088196,40,3,56,18.66666667,0.935780426,32.088196
32392259,70,1,34,34,0.72347068,32.392259
32428886,80,1,36,36,0.739075235,32.428886
32861164,80,1,39,39,0.682949403,32.861164
32955376,80,2,35,17.5,0.760039915,32.955376
32963946,140,1,23,23,0.676780739,32.963946
32963946,140,1,23,23,0.867726091,32.963946
33123217,60,1,38,38,0.716515275,33.123217
33177433,60,2,35,17.5,0.580515612,33.177433
33177433,60,2,35,17.5,0.976266064,33.177433
33200277,60,1,38,38,0.702877238,33.200277
33334598,40,2,69,34.5,0.803692574,33.334598
33454870,110,1,27,27,0.727581789,33.45487
33464291,60,2,42,21,0.765636531,33.464291
33679034,40,3,71,23.66666667,0.681390146,33.679034
33679034,40,3,71,23.66666667,0.925898944,33.679034
33763452,70,2,37,18.5,0.673271968,33.763452
33763452,70,2,37,18.5,0.951194984,33.763452
34036796,100,1,31,31,0.743653458,34.036796
34068546,60,2,44,22,0.788695561,34.068546
34068546,60,2,44,22,0.923554005,34.068546
34132086,70,2,42,21,0.731678674,34.132086
34132086,70,2,42,21,0.90004589,34.132086
34182452,130,1,23,23,0.701701864,34.182452
34315191,100,1,31,31,0.733474062,34.315191
34315191,100,1,31,31,0.896368135,34.315191
34453233,120,1,27,27,0.709433132,34.453233
34453233,120,1,27,27,0.887489336,34.453233
34518932,40,2,68,34,0.81454838,34.518932
34616996,80,1,40,40,0.710748159,34.616996
34644521,50,2,61,30.5,0.722511524,34.644521
34663475,130,1,23,23,0.724067614,34.663475
34663475,130,1,23,23,0.893184083,34.663475
34663501,130,1,26,26,0.671784253,34.663501
34663501,130,1,26,26,0.869339318,34.663501
34726749,50,1,51,51,0.810264931,34.726749
34789650,70,2,40,20,0.770764909,34.78965
34907634,90,1,29,29,0.693037651,34.907634
35035394,40,2,68,34,0.773523623,35.035394
35077883,50,1,42,42,0.722246115,35.077883
35237880,50,1,43,43,0.65371741,35.23788
35281517,110,1,26,26,0.669376888,35.281517
35291180,40,1,68,68,0.849039624,35.29118
35475677,60,1,47,47,0.814148311,35.475677
35702951,40,2,66,33,0.647421127,35.702951
35848179,60,1,45,45,0.79645087,35.848179
36058198,70,2,35,17.5,0.639388431,36.058198
36058198,70,2,35,17.5,0.971491764,36.058198
36073354,50,1,53,53,0.806444876,36.073354
36073354,50,1,53,53,0.932722775,36.073354
36155003,80,1,40,40,0.749895468,36.155003
36219941,40,2,74,37,0.817096218,36.219941
36219941,40,2,74,37,0.939267486,36.219941
36260405,60,1,47,47,0.807078514,36.260405
36482497,90,1,36,36,0.745349778,36.482497
36496222,120,1,27,27,0.727492922,36.496222
36527680,80,1,34,34,0.69731319,36.52768
36535527,50,3,59,19.66666667,0.786744743,36.535527
36535527,50,3,59,19.66666667,0.947047461,36.535527
36587183,50,1,51,51,0.737981009,36.587183
36614158,40,2,78,39,0.810496721,36.614158
36811871,140,1,23,23,0.724818003,36.811871
36827674,40,3,71,23.66666667,0.734376592,36.827674
36840064,40,3,70,23.33333333,0.782371526,36.840064
36840064,40,3,70,23.33333333,0.94240922,36.840064
36850461,50,2,53,26.5,0.759131496,36.850461
36850461,50,2,53,26.5,0.935048531,36.850461
36968810,90,1,39,39,0.729369021,36.96881
37019724,80,1,34,34,0.729233841,37.019724
37034700,50,2,55,27.5,0.810864489,37.0347
37074798,90,2,35,17.5,0.791673673,37.074798
37156783,40,2,61,30.5,0.70863563,37.156783
37324336,130,1,27,27,0.748630834,37.324336
37324336,130,1,27,27,0.90441647,37.324336
37329896,140,1,23,23,0.744195522,37.329896
37329896,140,1,23,23,0.902033453,37.329896
37329924,140,1,26,26,0.676088456,37.329924
37329924,140,1,26,26,0.870634216,37.329924
37440475,110,1,31,31,0.764429682,37.440475
37746710,110,1,31,31,0.738670954,37.74671
37746710,110,1,31,31,0.896817164,37.74671
37750254,60,2,53,26.5,0.769809232,37.750254
37750254,60,2,53,26.5,0.928389718,37.750254
38296851,60,2,42,21,0.660154129,38.296851
38302038,60,2,48,24,0.76044495,38.302038
38302038,60,2,48,24,0.939966031,38.302038
38357687,60,1,47,47,0.819456487,38.357687
38357687,60,1,47,47,0.93591732,38.357687
38397079,40,3,68,22.66666667,0.715725577,38.397079
38488928,120,1,26,26,0.683849656,38.488928
38505028,40,2,75,37.5,0.835887669,38.505028
38505028,40,2,75,37.5,0.952945691,38.505028
38586803,80,2,37,18.5,0.676869264,38.586803
38586803,80,2,37,18.5,0.947642753,38.586803
38643754,70,1,38,38,0.724730416,38.643754
38707005,70,2,35,17.5,0.676777271,38.707005
38707005,70,2,35,17.5,0.965618765,38.707005
38733656,70,1,38,38,0.720905022,38.733656
38786261,100,1,29,29,0.694861125,38.786261
38944120,90,1,40,40,0.674846917,38.94412
39008098,80,2,42,21,0.756722514,39.008098
39008098,80,2,42,21,0.909870234,39.008098
39041673,70,2,42,21,0.767548733,39.041673
39249614,50,2,56,28,0.737828681,39.249614
39537574,130,1,27,27,0.746914246,39.537574
39625668,40,3,83,27.66666667,0.779190931,39.625668
39706170,40,2,76,38,0.775962788,39.70617
39729515,50,3,63,21,0.765566143,39.729515
39729515,50,3,63,21,0.946807656,39.729515
39746637,70,2,44,22,0.774017511,39.746637
39746637,70,2,44,22,0.916145821,39.746637
39759600,80,2,40,20,0.779273305,39.7596
39960511,50,2,59,29.5,0.745582028,39.960511
40110246,50,3,56,18.66666667,0.746914506,40.110246
40110246,50,3,56,18.66666667,0.943625313,40.110246
40165802,40,3,87,29,0.764969812,40.165802
40176681,40,3,78,26,0.809678516,40.176681
40195439,140,1,27,27,0.729907389,40.195439
40195439,140,1,27,27,0.897519986,40.195439
40536108,100,1,36,36,0.763949676,40.536108
40674378,90,1,40,40,0.773963439,40.674378
40844155,120,1,31,31,0.764821437,40.844155
40959065,40,1,72,72,0.803633688,40.959065
41076456,100,1,39,39,0.717856026,41.076456
41093640,90,1,34,34,0.717541491,41.09364
41178229,120,1,31,31,0.771993884,41.178229
41178229,120,1,31,31,0.913077197,41.178229
41194221,100,2,35,17.5,0.732705231,41.194221
41196570,40,1,78,78,0.831285172,41.19657
41209369,80,2,35,17.5,0.658901031,41.209369
41209369,80,2,35,17.5,0.969064839,41.209369
41388290,70,1,47,47,0.814769968,41.38829
41573425,60,2,61,30.5,0.783700816,41.573425
41647190,90,1,34,34,0.754647628,41.64719
41668247,50,2,69,34.5,0.809960711,41.668247
41672099,60,1,51,51,0.825451036,41.672099
41696339,130,1,26,26,0.683295026,41.696339
41822876,70,1,45,45,0.797318649,41.822876
41945289,40,3,86,28.66666667,0.747359291,41.945289
42029875,40,1,59,59,0.680569765,42.029875
42093459,60,1,42,42,0.737408761,42.093459
42098793,50,3,71,23.66666667,0.754049402,42.098793
42098793,50,3,71,23.66666667,0.952206362,42.098793
42161210,40,4,78,19.5,0.799290925,42.16121
42161210,40,4,78,19.5,0.951346651,42.16121
42285456,60,1,43,43,0.683904175,42.285456
42303806,70,1,47,47,0.821101932,42.303806
42578926,140,1,27,27,0.747340601,42.578926
42664887,110,1,29,29,0.757429176,42.664887
42734826,40,4,81,20.25,0.683013119,42.734826
42817009,40,3,83,27.66666667,0.722004885,42.817009
43148665,50,2,68,34,0.818628383,43.148665
43206408,40,4,82,20.5,0.78758578,43.206408
43271245,100,1,40,40,0.697821969,43.271245
43288025,60,1,53,53,0.852881081,43.288025
43288025,60,1,53,53,0.951833968,43.288025
43399658,40,4,77,19.25,0.684512571,43.399658
43399658,40,4,77,19.25,0.940312922,43.399658
43410153,90,2,37,18.5,0.671374832,43.410153
43410153,90,2,37,18.5,0.961057279,43.410153
43458816,40,3,90,30,0.767665441,43.458816
43770504,40,4,88,22,0.802600265,43.770504
43794243,50,2,68,34,0.809086418,43.794243
43842633,60,3,59,19.66666667,0.807574438,43.842633
